"","baker_name","baker_age","baker_occupation","hometown","series","episode","signature_bake","show_stopper","technical","result","baker"
"194","Lucy Bellamy",38,"Horticulturist","Grimsby, Lincolnshire",4,2,"Grissini with Salt","Roast Tomato Bread",12,"OUT","Lucy"
"195","Mark Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes",4,2,"Rosemary & Raisin Breadsticks","Sage & Garlic Plait",6,"IN","Mark"
"196","Robert Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire",4,2,"Twisty Rye Bread Sticks","Tribute Loaf",5,"IN","Robert"
"197","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex",4,2,"Mexican Breadsticks","White Chocolate and Orange Peacock Bread",3,"STAR BAKER","Ruby"
"198","Ali Imdad",25,"Charity worker","Saltley, Birmingham",4,3,"Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops",5,"IN","Ali"
"199","Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire",4,3,"Orange and Ginger Trifle","Limoncello and Blueberry BurstsMillionaire Shortbread",10,"IN","Beca"
"200","Christine Wallace",66,"Director of an engraving company","Didcot, Oxfordshire",4,3,"Caribbean Pina Colada Trifle","Ninety-NinersSachertorte Parcels",4,"STAR BAKER","Christine"
"201","Deborah Manger",51,"Dentist","Peterborough",4,3,"Tropical Trifle*","Canelé Cherry and Chocolate CakesRose Cookies",9,"OUT","Deborah"
"202","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire",4,3,"Apple and Blackberry Crumble Trifle","'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes",8,"IN","Frances"
"203","Glenn Cosby",37,"English Teacher","Teignmouth, Devon",4,3,"Raspberry and Almond Trifle","Billionaire BouchéesOrange Financiers",1,"IN","Glenn"
"204","Howard Middleton",51,"Council Worker","Sheffield",4,3,"Caramel and Apple Trifle*","Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits",7,"IN","Howard"
"205","Kimberley Wilson",30,"Psychologist","London",4,3,"Peach, Almond and Ginger Trifle","Chocolate Pistachio FinanciersLemon Bergamot Biscuits",6,"IN","Kimberley"
"206","Mark Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes",4,3,"Ginger, Mango and Passion Fruit Trifle","Rose and Pistachio MacaroonsChocolate and Raspberry Bites",11,"OUT","Mark"
"207","Robert Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire",4,3,"Rhubarb and Orange Trifle","Almond FriandsTurǫn Macaroons",2,"IN","Robert"
"208","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex",4,3,"Desert Island Trifle","Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes",3,"IN","Ruby"
"209","Ali Imdad",25,"Charity worker","Saltley, Birmingham",4,4,"Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha",8,"OUT","Ali"
"210","Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire",4,4,"Mamgu's Cherry-Apple Tart","Moroccan Vegetable Filo Feast",2,"IN","Beca"
"211","Christine Wallace",66,"Director of an engraving company","Didcot, Oxfordshire",4,4,"Granny Rogers' Apple, Plum & Cinnamon Country Pie","Roasted Vegetable Filo Pie with Feta Cheese",7,"IN","Christine"
"212","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire",4,4,"Peach Pie In the Sky","Cherry Tree Baklava Filo Pie",1,"IN","Frances"
"213","Glenn Cosby",37,"English Teacher","Teignmouth, Devon",4,4,"Apple & Maple Syrup Pie","Spanakopita (Walnut and Feta Cheese)",9,"IN","Glenn"
"214","Howard Middleton",51,"Council Worker","Sheffield",4,4,"Apple Pie with Sage Pastry","Fresh Fig and Feta Filo Flan",5,"IN","Howard"
"215","Kimberley Wilson",30,"Psychologist","London",4,4,"Pecan and Rosemary Caramel Apple Pie","Chicken, Bacon and Butternut Squash Pie",4,"STAR BAKER","Kimberley"
"216","Robert Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire",4,4,"Apple and Pear Pie with Thyme","Spanakopita with St George's Mushrooms",3,"IN","Robert"
